1.000000	1.000000
650.000000	133879.937500
650.059990	133393.187500
650.119979	133916.500000
650.179969	133839.250000
650.239959	134506.265625
650.299949	134480.125000
650.359938	134393.218750
650.419928	134812.656250
650.479918	135484.343750
650.539907	135440.718750
650.599897	135002.093750
650.659887	135167.625000
650.719876	135833.718750
650.779866	136162.968750
650.839856	135972.625000
650.899846	136158.953125
650.959835	136330.812500
651.019825	136952.875000
651.079815	137386.781250
651.139804	136064.046875
651.199794	136176.140625
651.259784	137048.000000
651.319773	138037.703125
651.379763	136869.125000
651.439753	137683.906250
651.499743	138395.187500
651.559732	137914.406250
651.619722	137285.125000
651.679712	137835.093750
651.739701	138217.312500
651.799691	138070.093750
651.859681	138142.796875
651.919670	138627.093750
651.979660	138951.718750
652.039650	139051.937500
652.099640	139293.500000
652.159629	139384.031250
652.219619	139222.781250
652.279609	138785.375000
652.339598	139468.312500
652.399588	140171.015625
652.459578	140177.625000
652.519567	140560.187500
652.579557	140544.031250
652.639547	140839.546875
652.699537	141034.250000
652.759526	140673.015625
652.819516	141447.671875
652.879506	141911.781250
652.939495	142121.593750
652.999485	141584.750000
653.059475	141885.750000
653.119464	142105.437500
653.179454	141909.562500
653.239444	141929.281250
653.299434	142520.046875
653.359423	142910.062500
653.419413	142361.625000
653.479403	141998.890625
653.539392	142124.968750
653.599382	142418.437500
653.659372	142453.625000
653.719361	142880.437500
653.779351	143250.406250
653.839341	143912.500000
653.899331	144376.750000
653.959320	144329.781250
654.019310	144162.703125
654.079300	144219.546875
654.139289	144531.312500
654.199279	144734.906250
654.259269	144656.937500
654.319258	144658.046875
654.379248	145077.156250
654.439238	145005.031250
654.499228	145328.375000
654.559217	145679.875000
654.619207	146007.296875
654.679197	145706.250000
654.739186	144449.031250
654.799176	144779.562500
654.859166	145734.593750
654.919155	145690.781250
654.979145	145764.625000
655.039135	145845.421875
655.099125	145761.437500
655.159114	146880.937500
655.219104	147056.593750
655.279094	146790.187500
655.339083	147083.812500
655.399073	147587.718750
655.459063	147739.109375
655.519052	148457.843750
655.579042	148849.125000
655.639032	148766.062500
655.699022	148710.812500
655.759011	148440.468750
655.819001	148809.265625
655.878991	148987.875000
655.938980	149015.562500
655.998970	149256.406250
656.058960	149566.812500
656.118949	149945.156250
656.178939	149560.171875
656.238929	149836.812500
656.298919	150440.500000
656.358908	150716.062500
656.418898	149939.187500
656.478888	151370.546875
656.538877	151700.968750
656.598867	151861.375000
656.658857	150501.781250
656.718846	151533.812500
656.778836	152239.765625
656.838826	151717.718750
656.898816	151488.500000
656.958805	151477.031250
657.018795	152029.531250
657.078785	152339.562500
657.138774	152390.453125
657.198764	152654.968750
657.258754	152797.718750
657.318743	153114.000000
657.378733	153296.562500
657.438723	152905.343750
657.498713	153250.468750
657.558702	153839.015625
657.618692	153775.125000
657.678682	154626.703125
657.738671	155038.750000
657.798661	154741.500000
657.858651	154489.359375
657.918640	153525.859375
657.978630	154960.578125
658.038620	153581.078125
658.098610	154762.562500
658.158599	154311.937500
658.218589	154599.812500
658.278579	155095.093750
658.338568	155189.250000
658.398558	155462.765625
658.458548	156213.718750
658.518537	156270.171875
658.578527	156488.843750
658.638517	156620.500000
658.698507	156334.218750
658.758496	156529.375000
658.818486	156820.406250
658.878476	156720.968750
658.938465	156666.546875
658.998455	156801.250000
659.058445	157363.265625
659.118434	157673.890625
659.178424	158059.375000
659.238414	157215.187500
659.298404	157607.296875
659.358393	157901.343750
659.418383	158627.703125
659.478373	158920.093750
659.538362	158824.453125
659.598352	158607.421875
659.658342	158727.437500
659.718331	158840.906250
659.778321	159453.515625
659.838311	159542.062500
659.898301	159746.250000
659.958290	160057.093750
660.018280	160408.531250
660.078270	160581.765625
660.138259	160401.531250
660.198249	161018.406250
660.258239	161839.843750
660.318228	161012.859375
660.378218	160888.687500
660.438208	160925.343750
660.498198	161222.125000
660.558187	161369.218750
660.618177	160788.750000
660.678167	161515.171875
660.738156	161257.281250
660.798146	162223.750000
660.858136	162367.218750
660.918125	162330.000000
660.978115	162772.687500
661.038105	162532.750000
661.098095	163569.562500
661.158084	163656.937500
661.218074	163588.093750
661.278064	163518.250000
661.338053	163855.093750
661.398043	164519.953125
661.458033	164650.203125
661.518022	164382.562500
661.578012	164326.890625
661.638002	164595.484375
661.697992	165035.781250
661.757981	165193.578125
661.817971	165612.156250
661.877961	165541.078125
661.937950	165960.750000
661.997940	165807.843750
662.057930	165349.406250
662.117919	165729.375000
662.177909	165749.281250
662.237899	166057.750000
662.297888	166294.890625
662.357878	166345.328125
662.417868	166150.421875
662.477858	166827.406250
662.537847	167237.406250
662.597837	167126.359375
662.657827	166941.812500
662.717816	167229.593750
662.777806	167673.765625
662.837796	168422.031250
662.897786	168864.656250
662.957775	168409.500000
663.017765	168545.312500
663.077755	168931.781250
663.137744	168918.312500
663.197734	169128.109375
663.257724	168977.750000
663.317713	169143.406250
663.377703	169315.453125
663.437693	169153.250000
663.497682	168622.156250
663.557672	170156.312500
663.617662	170743.500000
663.677652	170450.328125
663.737641	170067.171875
663.797631	170499.375000
663.857621	170775.843750
663.917610	171263.500000
663.977600	171508.843750
664.037590	171347.375000
664.097580	171880.109375
664.157569	172441.218750
664.217559	172690.312500
664.277549	172806.031250
664.337538	172220.062500
664.397528	171722.937500
664.457518	172094.562500
664.517507	172434.359375
664.577497	173292.984375
664.637487	173101.890625
664.697476	172750.015625
664.757466	173089.468750
664.817456	173191.593750
664.877446	173892.000000
664.937435	173670.171875
664.997425	173734.843750
665.057415	174413.656250
665.117404	174048.906250
